id,type,priority,status,milestone,wave,epic_ids,domain,persona,statement,verification,source_scope
URS-F-0042,Functional,Must,Verified,M0,0,EPIC-005,dsl,Workflow author,"The system shall redact secret-derived values from previews, errors and logs.","Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0043,Functional,Must,Verified,M0,0,EPIC-005,dsl,Workflow author,The system shall provide compatibility tests for the selected Kestra Pebble expression subset.,"Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0044,Functional,Must,Verified,M0,0,EPIC-005,dsl,Workflow author,The system shall allow future expression engines through a stable adapter without changing flow storage.,"Parser, schema, rendering and compatibility tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0045,Functional,Must,Proposed,M0,0,EPIC-006,domain,Workflow author,The system shall create a new immutable revision for each semantic flow change.,Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0046,Functional,Must,Proposed,M0,0,EPIC-006,domain,Workflow author,The system shall show human-readable and machine-readable diffs between revisions.,Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0047,Functional,Must,Proposed,M0,0,EPIC-006,domain,Workflow author,The system shall pin every execution to the exact flow revision and plugin resolution set used at launch.,Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0048,Functional,Must,Proposed,M0,0,EPIC-006,domain,Workflow author,The system shall restore or clone an earlier revision without rewriting history.,Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0049,Functional,Must,Proposed,M0,0,EPIC-006,domain,Workflow author,"The system shall support draft, active, disabled and archived lifecycle states.",Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0050,Functional,Must,Proposed,M0,0,EPIC-006,domain,Workflow author,"The system shall attach actor, source, commit, environment and deployment metadata to revisions.",Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0051,Functional,Must,Proposed,M0,0,EPIC-006,domain,Workflow author,The system shall prevent incompatible revision deletion while executions or audit records reference it.,Domain model unit and serialization compatibility tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0052,Functional,Must,Verified,M0,0,EPIC-007,engine,Engine developer,"The system shall represent all commands, decisions and state changes as typed versioned events.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0053,Functional,Must,Verified,M0,0,EPIC-007,engine,Engine developer,The system shall enforce legal execution and task-run state transitions through a pure deterministic reducer.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0054,Functional,Must,Verified,M0,0,EPIC-007,engine,Engine developer,"The system shall retain immutable transition history with actor, reason, correlation and causation identifiers.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0055,Functional,Must,Verified,M0,0,EPIC-007,engine,Engine developer,The system shall make duplicate commands and events idempotent by stable idempotency keys.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0056,Functional,Must,Verified,M0,0,EPIC-007,engine,Engine developer,The system shall support replay from event history to rebuild current execution state.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0057,Functional,Must,Verified,M0,0,EPIC-007,engine,Engine developer,The system shall record rejected transitions and invariant violations without corrupting state.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0058,Functional,Must,Verified,M0,0,EPIC-007,engine,Engine developer,The system shall version the event schema and provide upcasters for supported historical versions.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0059,Functional,Must,Verified,M0,0,EPIC-007,engine,Engine developer,The system shall publish committed events only after the corresponding state transaction succeeds.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0060,Functional,Must,Verified,M0,0,EPIC-008,storage,Operator,"The system shall provide repository interfaces for flows, revisions, executions, task runs, triggers, workers, logs, metrics, assets and governance resources.",Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0061,Functional,Must,Verified,M0,0,EPIC-008,storage,Operator,The system shall implement PostgreSQL as the reference transactional backend.,Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0062,Functional,Must,Verified,M0,0,EPIC-008,storage,Operator,"The system shall use explicit transactions and isolation levels for scheduling, claiming, state transitions and outbox publication.",Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0063,Functional,Must,Verified,M0,0,EPIC-008,storage,Operator,The system shall apply ordered forward migrations with preflight checks and rollback guidance.,Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0064,Functional,Must,Verified,M0,0,EPIC-008,storage,Operator,The system shall support online-compatible migrations for rolling upgrades whenever feasible.,Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0065,Functional,Must,Verified,M0,0,EPIC-008,storage,Operator,The system shall protect invariants with database constraints in addition to application validation.,Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0066,Functional,Must,Verified,M0,0,EPIC-008,storage,Operator,"The system shall expose health, pool saturation, slow query and migration status metrics.",Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0067,Functional,Must,Verified,M0,0,EPIC-008,storage,Operator,The system shall provide deterministic seed data and ephemeral test database support.,Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0068,Functional,Must,Verified,M0,0,EPIC-009,messaging,Engine developer,"The system shall define versioned message envelopes with identity, type, tenant, correlation, causation, timestamp and trace context.","Delivery, ordering, duplicate and outage conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0069,Functional,Must,Verified,M0,0,EPIC-009,messaging,Engine developer,The system shall write outbound messages to a transactional outbox in the same transaction as state changes.,"Delivery, ordering, duplicate and outage conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0070,Functional,Must,Verified,M0,0,EPIC-009,messaging,Engine developer,The system shall deduplicate inbound messages through a durable inbox before applying side effects.,"Delivery, ordering, duplicate and outage conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0071,Functional,Must,Verified,M0,0,EPIC-009,messaging,Engine developer,The system shall support ordered processing by execution or trigger partition key.,"Delivery, ordering, duplicate and outage conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0072,Functional,Must,Verified,M0,0,EPIC-009,messaging,Engine developer,The system shall retry transient publication and consumption failures with bounded backoff and dead-letter handling.,"Delivery, ordering, duplicate and outage conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0073,Functional,Must,Verified,M0,0,EPIC-009,messaging,Engine developer,"The system shall expose lag, redelivery, poison-message and dead-letter diagnostics.","Delivery, ordering, duplicate and outage conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0074,Functional,Must,Verified,M0,0,EPIC-009,messaging,Engine developer,"The system shall provide a PostgreSQL-backed durable queue adapter with transactional outbox, inbox, claim, retry and dead-letter semantics.","Delivery, ordering, duplicate and outage conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0075,Functional,Must,Verified,M0,0,EPIC-009,messaging,Engine developer,The system shall document at-least-once delivery and external side-effect idempotency responsibilities.,"Delivery, ordering, duplicate and outage conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0076,Functional,Must,Proposed,M0,0,EPIC-010,storage,Workflow author,The system shall address stored objects through opaque tenant-scoped URIs rather than local filesystem paths.,Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0077,Functional,Must,Proposed,M0,0,EPIC-010,storage,Workflow author,The system shall support local development storage and S3-compatible production storage through one interface.,Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0078,Functional,Must,Proposed,M0,0,EPIC-010,storage,Workflow author,The system shall stream uploads and downloads without loading large objects fully into process memory.,Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0079,Functional,Must,Proposed,M0,0,EPIC-010,storage,Workflow author,"The system shall record size, content type, checksum, encryption metadata, creator, retention and lineage.",Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0080,Functional,Must,Proposed,M0,0,EPIC-010,storage,Workflow author,The system shall prevent cross-tenant access and path traversal at every storage boundary.,Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0081,Functional,Must,Proposed,M0,0,EPIC-010,storage,Workflow author,"The system shall support multipart upload, ranged download and resumable transfer where the backend permits.",Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0082,Functional,Must,Proposed,M0,0,EPIC-010,storage,Workflow author,The system shall garbage-collect unreferenced objects only after a configurable safety window.,Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0083,Functional,Must,Proposed,M0,0,EPIC-010,storage,Workflow author,The system shall verify object integrity on write and optionally on read.,Repository or storage adapter contract and fault-injection tests,Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0084,Functional,Must,Verified,M1,1,EPIC-100,engine,Workflow author,"The system shall create executions from manual, API, scheduled, event and subflow launches.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0085,Functional,Must,Verified,M1,1,EPIC-100,engine,Workflow author,The system shall expand runnable tasks only when dependencies and conditions are satisfied.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0086,Functional,Must,Verified,M1,1,EPIC-100,engine,Workflow author,The system shall apply task-run results to the workflow state through the deterministic reducer.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0087,Functional,Must,Verified,M1,1,EPIC-100,engine,Workflow author,"The system shall coordinate sequential, parallel and dependency-driven branches without race-dependent outcomes.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0088,Functional,Must,Verified,M1,1,EPIC-100,engine,Workflow author,"The system shall emit dispatch commands, downstream trigger events and terminal execution events transactionally.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0089,Functional,Must,Verified,M1,1,EPIC-100,engine,Workflow author,The system shall resume orchestration after executor restart without losing or duplicating logical progress.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0090,Functional,Must,Verified,M1,1,EPIC-100,engine,Workflow author,The system shall detect deadlocked or unsatisfiable execution graphs and terminate them with actionable diagnostics.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0091,Functional,Must,Verified,M1,1,EPIC-100,engine,Workflow author,"The system shall support horizontally scaled executor instances through partitioning, leases or optimistic coordination.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0092,Functional,Must,Verified,M1,1,EPIC-101,engine,Operator,"The system shall register workers with stable identity, version, capabilities, labels, runner types and capacity.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0093,Functional,Must,Verified,M1,1,EPIC-101,engine,Operator,The system shall lease task runs atomically to one eligible worker using expiring ownership and fencing tokens.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0094,Functional,Must,Verified,M1,1,EPIC-101,engine,Operator,"The system shall renew leases through heartbeats that include progress, resource use and cancellation acknowledgement.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0095,Functional,Must,Verified,M1,1,EPIC-101,engine,Operator,The system shall reject stale completion or mutation attempts from a worker holding an obsolete fencing token.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0096,Functional,Must,Verified,M1,1,EPIC-101,engine,Operator,The system shall requeue or fail task runs according to policy when a worker or lease disappears.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0097,Functional,Must,Verified,M1,1,EPIC-101,engine,Operator,The system shall drain workers without assigning new work while allowing in-flight work to finish.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0098,Functional,Must,Verified,M1,1,EPIC-101,engine,Operator,"The system shall expose worker inventory, liveness, utilization, claimed work and compatibility status.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0099,Functional,Must,Verified,M1,1,EPIC-101,engine,Operator,The system shall support pull-based and PostgreSQL-notification-assisted dispatch through one versioned worker protocol.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0100,Functional,Must,Verified,M1,1,EPIC-102,engine,Workflow author,The system shall evaluate cron and interval schedules in explicit IANA time zones.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0101,Functional,Must,Verified,M1,1,EPIC-102,engine,Workflow author,"The system shall define deterministic behavior for daylight-saving gaps, overlaps and historical timezone changes.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0102,Functional,Must,Verified,M1,1,EPIC-102,engine,Workflow author,The system shall persist next-fire state and acquire scheduler leases using fencing to prevent competing owners.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0103,Functional,Must,Verified,M1,1,EPIC-102,engine,Workflow author,"The system shall recover missed schedules according to catch-up, skip, coalesce or backfill policy.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0104,Functional,Must,Verified,M1,1,EPIC-102,engine,Workflow author,"The system shall apply start, end, disabled, paused and condition constraints before launch.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0105,Functional,Must,Verified,M1,1,EPIC-102,engine,Workflow author,The system shall deduplicate schedule launches with a stable trigger occurrence identity.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0106,Functional,Must,Verified,M1,1,EPIC-102,engine,Workflow author,The system shall preview future occurrences and explain why a schedule did or did not fire.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0107,Functional,Must,Verified,M1,1,EPIC-102,engine,Workflow author,The system shall operate safely with multiple scheduler replicas and PostgreSQL failover or connection interruption.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0108,Functional,Must,Proposed,M1,1,EPIC-103,engine,Workflow author,"The system shall define trigger identities, revisions, state, conditions, inputs and occurrence metadata.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0109,Functional,Must,Proposed,M1,1,EPIC-103,engine,Workflow author,The system shall activate and deactivate trigger instances when flow revisions change.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0110,Functional,Must,Proposed,M1,1,EPIC-103,engine,Workflow author,The system shall persist trigger checkpoints and cursors before acknowledging external events where possible.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0111,Functional,Must,Proposed,M1,1,EPIC-103,engine,Workflow author,The system shall deduplicate repeated source events using connector-provided or derived occurrence keys.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0112,Functional,Must,Proposed,M1,1,EPIC-103,engine,Workflow author,"The system shall support trigger backpressure, pause, retry, dead-letter and manual replay.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0113,Functional,Must,Proposed,M1,1,EPIC-103,engine,Workflow author,"The system shall expose trigger health, last evaluation, next evaluation, lag and recent occurrences.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0114,Functional,Must,Proposed,M1,1,EPIC-103,engine,Workflow author,The system shall route flow-completion events to dependent flows without relying on polling.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0115,Functional,Must,Proposed,M1,1,EPIC-103,engine,Workflow author,The system shall allow plugins to implement polling and realtime trigger adapters through stable interfaces.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0116,Functional,Must,Verified,M1,1,EPIC-104,engine,Operator,"The system shall apply configurable retry attempts, delays, exponential backoff, maximum interval and jitter.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0117,Functional,Must,Verified,M1,1,EPIC-104,engine,Operator,"The system shall classify errors as retryable, non-retryable, cancelled, timed out or infrastructure failures.","Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0118,Functional,Must,Verified,M1,1,EPIC-104,engine,Operator,The system shall enforce task and execution timeouts using monotonic deadlines where possible.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
URS-F-0119,Functional,Must,Verified,M1,1,EPIC-104,engine,Operator,The system shall pause and resume workflows without losing completed work or admitting new runnable tasks.,"Automated unit, integration, crash-recovery and conformance tests",Kestra v1.3.30 public behavior and architecture parity baseline
