requirement_id,requirement_type,priority,epic_id,epic_title,milestone,wave,verification,status
URS-F-0030,Functional,Must,EPIC-004,"Flow DSL, YAML model and schema",M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0031,Functional,Must,EPIC-004,"Flow DSL, YAML model and schema",M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0032,Functional,Must,EPIC-004,"Flow DSL, YAML model and schema",M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0033,Functional,Must,EPIC-004,"Flow DSL, YAML model and schema",M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0034,Functional,Must,EPIC-004,"Flow DSL, YAML model and schema",M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0035,Functional,Must,EPIC-004,"Flow DSL, YAML model and schema",M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0036,Functional,Must,EPIC-004,"Flow DSL, YAML model and schema",M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0037,Functional,Must,EPIC-005,Expression and templating engine,M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0038,Functional,Must,EPIC-005,Expression and templating engine,M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0039,Functional,Must,EPIC-005,Expression and templating engine,M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0040,Functional,Must,EPIC-005,Expression and templating engine,M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0041,Functional,Must,EPIC-005,Expression and templating engine,M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0042,Functional,Must,EPIC-005,Expression and templating engine,M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0043,Functional,Must,EPIC-005,Expression and templating engine,M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0044,Functional,Must,EPIC-005,Expression and templating engine,M0,0,"Parser, schema, rendering and compatibility tests",Verified
URS-F-0045,Functional,Must,EPIC-006,"Flow revisions, change history and promotion",M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0046,Functional,Must,EPIC-006,"Flow revisions, change history and promotion",M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0047,Functional,Must,EPIC-006,"Flow revisions, change history and promotion",M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0048,Functional,Must,EPIC-006,"Flow revisions, change history and promotion",M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0049,Functional,Must,EPIC-006,"Flow revisions, change history and promotion",M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0050,Functional,Must,EPIC-006,"Flow revisions, change history and promotion",M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0051,Functional,Must,EPIC-006,"Flow revisions, change history and promotion",M0,0,Domain model unit and serialization compatibility tests,Verified
URS-F-0052,Functional,Must,EPIC-007,Execution event model and state machine,M0,0,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0053,Functional,Must,EPIC-007,Execution event model and state machine,M0,0,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0054,Functional,Must,EPIC-007,Execution event model and state machine,M0,0,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0055,Functional,Must,EPIC-007,Execution event model and state machine,M0,0,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0056,Functional,Must,EPIC-007,Execution event model and state machine,M0,0,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0057,Functional,Must,EPIC-007,Execution event model and state machine,M0,0,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0058,Functional,Must,EPIC-007,Execution event model and state machine,M0,0,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0059,Functional,Must,EPIC-007,Execution event model and state machine,M0,0,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0060,Functional,Must,EPIC-008,Metadata persistence and migrations,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0061,Functional,Must,EPIC-008,Metadata persistence and migrations,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0062,Functional,Must,EPIC-008,Metadata persistence and migrations,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0063,Functional,Must,EPIC-008,Metadata persistence and migrations,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0064,Functional,Must,EPIC-008,Metadata persistence and migrations,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0065,Functional,Must,EPIC-008,Metadata persistence and migrations,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0066,Functional,Must,EPIC-008,Metadata persistence and migrations,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0067,Functional,Must,EPIC-008,Metadata persistence and migrations,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0068,Functional,Must,EPIC-009,"PostgreSQL transport, inbox and transactional outbox",M0,0,"Delivery, ordering, duplicate and outage conformance tests",Verified
URS-F-0069,Functional,Must,EPIC-009,"PostgreSQL transport, inbox and transactional outbox",M0,0,"Delivery, ordering, duplicate and outage conformance tests",Verified
URS-F-0070,Functional,Must,EPIC-009,"PostgreSQL transport, inbox and transactional outbox",M0,0,"Delivery, ordering, duplicate and outage conformance tests",Verified
URS-F-0071,Functional,Must,EPIC-009,"PostgreSQL transport, inbox and transactional outbox",M0,0,"Delivery, ordering, duplicate and outage conformance tests",Verified
URS-F-0072,Functional,Must,EPIC-009,"PostgreSQL transport, inbox and transactional outbox",M0,0,"Delivery, ordering, duplicate and outage conformance tests",Verified
URS-F-0073,Functional,Must,EPIC-009,"PostgreSQL transport, inbox and transactional outbox",M0,0,"Delivery, ordering, duplicate and outage conformance tests",Verified
URS-F-0074,Functional,Must,EPIC-009,"PostgreSQL transport, inbox and transactional outbox",M0,0,"Delivery, ordering, duplicate and outage conformance tests",Verified
URS-F-0075,Functional,Must,EPIC-009,"PostgreSQL transport, inbox and transactional outbox",M0,0,"Delivery, ordering, duplicate and outage conformance tests",Verified
URS-F-0076,Functional,Must,EPIC-010,Internal object storage and artifact addressing,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0077,Functional,Must,EPIC-010,Internal object storage and artifact addressing,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0078,Functional,Must,EPIC-010,Internal object storage and artifact addressing,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0079,Functional,Must,EPIC-010,Internal object storage and artifact addressing,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0080,Functional,Must,EPIC-010,Internal object storage and artifact addressing,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0081,Functional,Must,EPIC-010,Internal object storage and artifact addressing,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0082,Functional,Must,EPIC-010,Internal object storage and artifact addressing,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0083,Functional,Must,EPIC-010,Internal object storage and artifact addressing,M0,0,Repository or storage adapter contract and fault-injection tests,Verified
URS-F-0084,Functional,Must,EPIC-100,Executor and orchestration reducer,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0085,Functional,Must,EPIC-100,Executor and orchestration reducer,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0086,Functional,Must,EPIC-100,Executor and orchestration reducer,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0087,Functional,Must,EPIC-100,Executor and orchestration reducer,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0088,Functional,Must,EPIC-100,Executor and orchestration reducer,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0089,Functional,Must,EPIC-100,Executor and orchestration reducer,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0090,Functional,Must,EPIC-100,Executor and orchestration reducer,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0091,Functional,Must,EPIC-100,Executor and orchestration reducer,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0092,Functional,Must,EPIC-101,"Worker protocol, leases and heartbeats",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0093,Functional,Must,EPIC-101,"Worker protocol, leases and heartbeats",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0094,Functional,Must,EPIC-101,"Worker protocol, leases and heartbeats",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0095,Functional,Must,EPIC-101,"Worker protocol, leases and heartbeats",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0096,Functional,Must,EPIC-101,"Worker protocol, leases and heartbeats",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0097,Functional,Must,EPIC-101,"Worker protocol, leases and heartbeats",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0098,Functional,Must,EPIC-101,"Worker protocol, leases and heartbeats",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0099,Functional,Must,EPIC-101,"Worker protocol, leases and heartbeats",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0100,Functional,Must,EPIC-102,Scheduler and temporal correctness,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0101,Functional,Must,EPIC-102,Scheduler and temporal correctness,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0102,Functional,Must,EPIC-102,Scheduler and temporal correctness,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0103,Functional,Must,EPIC-102,Scheduler and temporal correctness,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0104,Functional,Must,EPIC-102,Scheduler and temporal correctness,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0105,Functional,Must,EPIC-102,Scheduler and temporal correctness,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0106,Functional,Must,EPIC-102,Scheduler and temporal correctness,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0107,Functional,Must,EPIC-102,Scheduler and temporal correctness,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0108,Functional,Must,EPIC-103,Trigger runtime and occurrence lifecycle,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0109,Functional,Must,EPIC-103,Trigger runtime and occurrence lifecycle,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0110,Functional,Must,EPIC-103,Trigger runtime and occurrence lifecycle,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0111,Functional,Must,EPIC-103,Trigger runtime and occurrence lifecycle,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0112,Functional,Must,EPIC-103,Trigger runtime and occurrence lifecycle,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0113,Functional,Must,EPIC-103,Trigger runtime and occurrence lifecycle,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0114,Functional,Must,EPIC-103,Trigger runtime and occurrence lifecycle,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0115,Functional,Must,EPIC-103,Trigger runtime and occurrence lifecycle,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0116,Functional,Must,EPIC-104,"Retries, timeout, pause, cancellation, kill and restart",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0117,Functional,Must,EPIC-104,"Retries, timeout, pause, cancellation, kill and restart",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0118,Functional,Must,EPIC-104,"Retries, timeout, pause, cancellation, kill and restart",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0119,Functional,Must,EPIC-104,"Retries, timeout, pause, cancellation, kill and restart",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0120,Functional,Must,EPIC-104,"Retries, timeout, pause, cancellation, kill and restart",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0121,Functional,Must,EPIC-104,"Retries, timeout, pause, cancellation, kill and restart",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0122,Functional,Must,EPIC-104,"Retries, timeout, pause, cancellation, kill and restart",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0123,Functional,Must,EPIC-104,"Retries, timeout, pause, cancellation, kill and restart",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0124,Functional,Must,EPIC-105,"Concurrency, admission control and fairness",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0125,Functional,Must,EPIC-105,"Concurrency, admission control and fairness",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0126,Functional,Must,EPIC-105,"Concurrency, admission control and fairness",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0127,Functional,Must,EPIC-105,"Concurrency, admission control and fairness",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0128,Functional,Must,EPIC-105,"Concurrency, admission control and fairness",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0129,Functional,Must,EPIC-105,"Concurrency, admission control and fairness",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0130,Functional,Must,EPIC-105,"Concurrency, admission control and fairness",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0131,Functional,Must,EPIC-105,"Concurrency, admission control and fairness",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0132,Functional,Must,EPIC-106,"Backfill, replay and historical reprocessing",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0133,Functional,Must,EPIC-106,"Backfill, replay and historical reprocessing",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0134,Functional,Must,EPIC-106,"Backfill, replay and historical reprocessing",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0135,Functional,Must,EPIC-106,"Backfill, replay and historical reprocessing",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0136,Functional,Must,EPIC-106,"Backfill, replay and historical reprocessing",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0137,Functional,Must,EPIC-106,"Backfill, replay and historical reprocessing",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0138,Functional,Must,EPIC-106,"Backfill, replay and historical reprocessing",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0139,Functional,Must,EPIC-106,"Backfill, replay and historical reprocessing",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0140,Functional,Must,EPIC-107,"Subflows, dependencies and system flows",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0141,Functional,Must,EPIC-107,"Subflows, dependencies and system flows",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0142,Functional,Must,EPIC-107,"Subflows, dependencies and system flows",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0143,Functional,Must,EPIC-107,"Subflows, dependencies and system flows",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0144,Functional,Must,EPIC-107,"Subflows, dependencies and system flows",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0145,Functional,Must,EPIC-107,"Subflows, dependencies and system flows",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0146,Functional,Must,EPIC-107,"Subflows, dependencies and system flows",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0147,Functional,Must,EPIC-107,"Subflows, dependencies and system flows",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0148,Functional,Must,EPIC-108,"Recovery, reconciliation and invariant repair",M1,1,"Fault-injection, replay and invariant tests",Verified
URS-F-0149,Functional,Must,EPIC-108,"Recovery, reconciliation and invariant repair",M1,1,"Fault-injection, replay and invariant tests",Verified
URS-F-0150,Functional,Must,EPIC-108,"Recovery, reconciliation and invariant repair",M1,1,"Fault-injection, replay and invariant tests",Verified
URS-F-0151,Functional,Must,EPIC-108,"Recovery, reconciliation and invariant repair",M1,1,"Fault-injection, replay and invariant tests",Verified
URS-F-0152,Functional,Must,EPIC-108,"Recovery, reconciliation and invariant repair",M1,1,"Fault-injection, replay and invariant tests",Verified
URS-F-0153,Functional,Must,EPIC-108,"Recovery, reconciliation and invariant repair",M1,1,"Fault-injection, replay and invariant tests",Verified
URS-F-0154,Functional,Must,EPIC-108,"Recovery, reconciliation and invariant repair",M1,1,"Fault-injection, replay and invariant tests",Verified
URS-F-0155,Functional,Must,EPIC-108,"Recovery, reconciliation and invariant repair",M1,1,"Fault-injection, replay and invariant tests",Verified
URS-F-0156,Functional,Must,EPIC-109,Task and execution cache,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0157,Functional,Must,EPIC-109,Task and execution cache,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0158,Functional,Must,EPIC-109,Task and execution cache,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0159,Functional,Must,EPIC-109,Task and execution cache,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0160,Functional,Must,EPIC-109,Task and execution cache,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0161,Functional,Must,EPIC-109,Task and execution cache,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0162,Functional,Must,EPIC-109,Task and execution cache,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0163,Functional,Must,EPIC-109,Task and execution cache,M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0164,Functional,Must,EPIC-110,"SLA, checks and execution policy evaluation",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0165,Functional,Must,EPIC-110,"SLA, checks and execution policy evaluation",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0166,Functional,Must,EPIC-110,"SLA, checks and execution policy evaluation",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0167,Functional,Must,EPIC-110,"SLA, checks and execution policy evaluation",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0168,Functional,Must,EPIC-110,"SLA, checks and execution policy evaluation",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0169,Functional,Must,EPIC-110,"SLA, checks and execution policy evaluation",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0170,Functional,Must,EPIC-110,"SLA, checks and execution policy evaluation",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0171,Functional,Must,EPIC-110,"SLA, checks and execution policy evaluation",M1,1,"Automated unit, integration, crash-recovery and conformance tests",Verified
URS-F-0172,Functional,Must,EPIC-111,"Logs, metrics, outputs and artifact events",M1,1,Telemetry contract and outage tests,Verified
URS-F-0173,Functional,Must,EPIC-111,"Logs, metrics, outputs and artifact events",M1,1,Telemetry contract and outage tests,Verified
URS-F-0174,Functional,Must,EPIC-111,"Logs, metrics, outputs and artifact events",M1,1,Telemetry contract and outage tests,Verified
URS-F-0175,Functional,Must,EPIC-111,"Logs, metrics, outputs and artifact events",M1,1,Telemetry contract and outage tests,Verified
URS-F-0176,Functional,Must,EPIC-111,"Logs, metrics, outputs and artifact events",M1,1,Telemetry contract and outage tests,Verified
URS-F-0177,Functional,Must,EPIC-111,"Logs, metrics, outputs and artifact events",M1,1,Telemetry contract and outage tests,Verified
URS-F-0178,Functional,Must,EPIC-111,"Logs, metrics, outputs and artifact events",M1,1,Telemetry contract and outage tests,Verified
URS-F-0179,Functional,Must,EPIC-111,"Logs, metrics, outputs and artifact events",M1,1,Telemetry contract and outage tests,Verified
URS-F-0180,Functional,Must,EPIC-200,Runnable task contract,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0181,Functional,Must,EPIC-200,Runnable task contract,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0182,Functional,Must,EPIC-200,Runnable task contract,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0183,Functional,Must,EPIC-200,Runnable task contract,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0184,Functional,Must,EPIC-200,Runnable task contract,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0185,Functional,Must,EPIC-200,Runnable task contract,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0186,Functional,Must,EPIC-200,Runnable task contract,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0187,Functional,Must,EPIC-200,Runnable task contract,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0188,Functional,Must,EPIC-201,"Sequential, parallel and DAG flowables",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0189,Functional,Must,EPIC-201,"Sequential, parallel and DAG flowables",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0190,Functional,Must,EPIC-201,"Sequential, parallel and DAG flowables",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0191,Functional,Must,EPIC-201,"Sequential, parallel and DAG flowables",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0192,Functional,Must,EPIC-201,"Sequential, parallel and DAG flowables",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0193,Functional,Must,EPIC-201,"Sequential, parallel and DAG flowables",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0194,Functional,Must,EPIC-201,"Sequential, parallel and DAG flowables",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0195,Functional,Must,EPIC-201,"Sequential, parallel and DAG flowables",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0196,Functional,Must,EPIC-202,Conditional branching and switch semantics,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0197,Functional,Must,EPIC-202,Conditional branching and switch semantics,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0198,Functional,Must,EPIC-202,Conditional branching and switch semantics,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0199,Functional,Must,EPIC-202,Conditional branching and switch semantics,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0200,Functional,Must,EPIC-202,Conditional branching and switch semantics,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0201,Functional,Must,EPIC-202,Conditional branching and switch semantics,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0202,Functional,Must,EPIC-202,Conditional branching and switch semantics,M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0203,Functional,Must,EPIC-203,"Loops, foreach, while and until",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0204,Functional,Must,EPIC-203,"Loops, foreach, while and until",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0205,Functional,Must,EPIC-203,"Loops, foreach, while and until",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0206,Functional,Must,EPIC-203,"Loops, foreach, while and until",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0207,Functional,Must,EPIC-203,"Loops, foreach, while and until",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0208,Functional,Must,EPIC-203,"Loops, foreach, while and until",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0209,Functional,Must,EPIC-203,"Loops, foreach, while and until",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0210,Functional,Must,EPIC-203,"Loops, foreach, while and until",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
URS-F-0211,Functional,Must,EPIC-204,"Errors, finally and after-execution hooks",M2,2,DSL validation plus end-to-end workflow conformance tests,Verified
